name	HSD	TP	Space	FP	Precision	Score
50%_100aa	320	256	153	64	80.0	6.507692307692308
50%_10aa	122	109	69	13	89.34426229508196	11.571428571428571
50%_30aa	202	170	102	32	84.15841584158416	8.181818181818182
50%_50aa	256	216	127	40	84.375	8.414634146341463
50%_70aa	291	241	142	50	82.81786941580756	7.647058823529412
60%_100aa	241	205	139	36	85.06224066390041	8.297297297297296
60%_10aa	104	97	67	7	93.26923076923077	16.75
60%_30aa	159	137	95	22	86.16352201257861	8.73913043478261
60%_50aa	199	172	116	27	86.4321608040201	9.107142857142858
60%_70aa_	224	193	130	31	86.16071428571429	8.96875
70%_100aa	189	167	116	22	88.35978835978835	10.434782608695652
70%_10aa	78	76	54	2	97.43589743589743	33.333333333333336
70%_30aa	127	116	76	11	91.33858267716535	13.916666666666666
70%_50aa	159	145	96	14	91.19496855345912	13.866666666666667
70%_70aa	178	161	107	17	90.4494382022472	12.88888888888889
80%_100aa	143	129	96	14	90.20979020979021	11.733333333333333
80%_10aa	66	65	47	1	98.48484848484848	42.0
80%_30aa	96	90	63	6	93.75	17.571428571428573
80%_50aa	117	109	77	8	93.16239316239316	16.555555555555557
80%_70aa	132	121	88	11	91.66666666666667	13.75
90%_100aa	105	97	75	8	92.38095238095238	14.11111111111111
90%_10aa	54	54	43	0	100.0	65.0
90%_30aa	71	69	52	2	97.1830985915493	29.333333333333332
90%_50aa	94	92	68	2	97.87234042553192	39.333333333333336
90%_70aa	100	94	71	6	94.0	17.571428571428573
result	27	27	0	0	100.0	54.0
